Vardas                Pavarde               ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas159             Pavarde159            0         6         3         0         2         7         
Vardas160             Pavarde160            0         10        3         0         1         2         
Vardas161             Pavarde161            3         7         2         7         1         0         
Vardas162             Pavarde162            1         2         10        7         1         6         
Vardas163             Pavarde163            8         0         8         1         0         2         
Vardas164             Pavarde164            5         2         6         6         3         3         
Vardas165             Pavarde165            5         4         3         5         1         5         
Vardas166             Pavarde166            9         3         9         5         8         10        
Vardas167             Pavarde167            4         6         1         9         9         5         
Vardas168             Pavarde168            5         4         1         7         3         1         
Vardas169             Pavarde169            2         4         5         8         8         9         
Vardas170             Pavarde170            0         1         7         4         1         5         
Vardas171             Pavarde171            10        3         8         10        10        10        
Vardas172             Pavarde172            5         2         10        7         10        6         
Vardas173             Pavarde173            7         1         0         8         3         8         
Vardas174             Pavarde174            0         2         6         7         9         10        
Vardas175             Pavarde175            6         8         3         1         4         10        
Vardas176             Pavarde176            8         7         2         1         7         1         
Vardas177             Pavarde177            1         10        4         0         5         8         
Vardas178             Pavarde178            10        0         0         5         0         1         
Vardas179             Pavarde179            7         5         9         7         6         1         
Vardas180             Pavarde180            10        4         8         8         3         3         
Vardas181             Pavarde181            2         5         2         10        4         2         
Vardas182             Pavarde182            3         5         3         4         2         2         
Vardas183             Pavarde183            10        2         3         0         3         8         
Vardas184             Pavarde184            9         7         7         2         4         5         
Vardas185             Pavarde185            8         6         5         9         1         8         
Vardas186             Pavarde186            6         4         3         8         5         0         
Vardas187             Pavarde187            1         9         3         1         10        2         
Vardas188             Pavarde188            7         1         4         6         4         8         
Vardas189             Pavarde189            1         0         5         4         10        8         
Vardas190             Pavarde190            0         9         8         3         6         8         
Vardas191             Pavarde191            9         5         8         4         0         5         
Vardas192             Pavarde192            3         5         9         7         0         6         
Vardas193             Pavarde193            1         10        2         4         8         6         
Vardas194             Pavarde194            0         1         10        10        0         8         
Vardas195             Pavarde195            3         9         1         7         0         7         
Vardas196             Pavarde196            6         8         10        4         2         8         
Vardas197             Pavarde197            8         1         2         1         6         3         
Vardas198             Pavarde198            7         9         8         10        10        7         
Vardas199             Pavarde199            2         5         2         3         8         3         
Vardas200             Pavarde200            1         9         2         7         0         1         
Vardas201             Pavarde201            8         6         4         2         7         7         
Vardas202             Pavarde202            3         5         3         8         10        5         
Vardas203             Pavarde203            9         7         5         4         2         3         
Vardas204             Pavarde204            5         4         0         5         4         10        
Vardas205             Pavarde205            3         0         5         8         0         6         
Vardas206             Pavarde206            5         9         3         6         8         10        
Vardas207             Pavarde207            2         3         10        0         10        1         
Vardas208             Pavarde208            4         1         9         0         2         2         
Vardas209             Pavarde209            2         8         2         1         5         1         
Vardas210             Pavarde210            4         5         6         2         5         5         
Vardas211             Pavarde211            2         0         4         2         0         0         
Vardas212             Pavarde212            5         0         1         8         1         3         
Vardas213             Pavarde213            7         9         1         9         5         10        
Vardas214             Pavarde214            7         7         2         6         7         0         
Vardas215             Pavarde215            0         0         3         2         5         3         
Vardas216             Pavarde216            7         2         5         10        8         6         
Vardas217             Pavarde217            9         2         0         0         6         3         
Vardas218             Pavarde218            8         9         1         0         8         10        
Vardas219             Pavarde219            10        6         7         7         7         2         
Vardas220             Pavarde220            1         9         3         1         4         7         
Vardas221             Pavarde221            4         9         8         10        3         1         
Vardas222             Pavarde222            7         3         0         6         8         4         
Vardas223             Pavarde223            5         1         5         3         5         10        
Vardas224             Pavarde224            4         1         5         3         4         6         
Vardas225             Pavarde225            10        4         2         8         8         6         
Vardas226             Pavarde226            8         1         2         10        2         7         
Vardas227             Pavarde227            6         10        10        8         5         9         
Vardas228             Pavarde228            10        5         3         10        6         0         
Vardas229             Pavarde229            5         8         3         7         3         10        
Vardas230             Pavarde230            4         0         4         8         3         1         
Vardas231             Pavarde231            1         10        3         7         6         3         
Vardas232             Pavarde232            6         3         1         7         5         3         
Vardas233             Pavarde233            0         3         5         6         8         1         
Vardas234             Pavarde234            5         10        5         6         6         2         
Vardas235             Pavarde235            9         8         7         7         0         7         
Vardas236             Pavarde236            7         3         3         4         8         0         
Vardas237             Pavarde237            6         4         8         9         9         0         
Vardas238             Pavarde238            5         1         8         10        6         10        
Vardas239             Pavarde239            9         0         5         2         5         9         
Vardas240             Pavarde240            1         0         6         2         2         10        
Vardas241             Pavarde241            2         4         3         6         2         1         
Vardas242             Pavarde242            8         0         0         6         1         1         
Vardas243             Pavarde243            10        9         10        5         3         0         
Vardas244             Pavarde244            7         10        5         5         3         7         
Vardas245             Pavarde245            0         0         5         7         3         2         
Vardas246             Pavarde246            0         2         1         3         4         2         
Vardas247             Pavarde247            7         0         5         2         2         8         
Vardas248             Pavarde248            2         1         4         3         6         7         
Vardas249             Pavarde249            1         5         6         9         7         1         
Vardas250             Pavarde250            0         4         2         1         4         2         
Vardas251             Pavarde251            5         6         7         1         2         3         
Vardas252             Pavarde252            2         5         9         3         6         5         
Vardas253             Pavarde253            2         7         0         6         5         5         
Vardas254             Pavarde254            10        7         3         10        5         8         
Vardas255             Pavarde255            6         2         3         0         9         10        
Vardas256             Pavarde256            10        2         9         5         7         10        
Vardas257             Pavarde257            1         1         9         3         10        4         
Vardas258             Pavarde258            10        3         4         5         8         3         
Vardas259             Pavarde259            5         3         6         10        3         7         
Vardas260             Pavarde260            10        9         3         1         6         10        
Vardas261             Pavarde261            3         1         7         10        5         2         
Vardas262             Pavarde262            5         1         4         3         4         1         
Vardas263             Pavarde263            3         2         5         4         10        7         
Vardas264             Pavarde264            3         1         0         0         6         2         
Vardas265             Pavarde265            2         8         8         2         4         3         
Vardas266             Pavarde266            3         6         3         6         5         6         
Vardas267             Pavarde267            3         5         2         10        5         10        
Vardas268             Pavarde268            4         0         2         3         2         2         
Vardas269             Pavarde269            8         9         4         7         4         9         
Vardas270             Pavarde270            3         10        10        0         2         1         
Vardas271             Pavarde271            10        4         7         10        6         5         
Vardas272             Pavarde272            4         4         2         0         10        9         
Vardas273             Pavarde273            6         8         8         0         0         0         
Vardas274             Pavarde274            6         7         9         6         7         9         
Vardas275             Pavarde275            3         9         7         10        7         9         
Vardas276             Pavarde276            8         6         9         6         8         7         
Vardas277             Pavarde277            0         4         1         6         7         10        
Vardas278             Pavarde278            7         9         3         7         7         3         
Vardas279             Pavarde279            6         6         2         10        2         0         
Vardas280             Pavarde280            6         2         5         7         5         2         
Vardas281             Pavarde281            4         4         5         7         4         10        
Vardas282             Pavarde282            5         9         6         9         4         4         
Vardas283             Pavarde283            5         5         1         7         8         7         
Vardas284             Pavarde284            8         8         2         8         3         7         
Vardas285             Pavarde285            5         5         3         5         6         5         
Vardas286             Pavarde286            5         9         7         7         6         3         
Vardas287             Pavarde287            5         0         6         9         4         7         
Vardas288             Pavarde288            4         8         4         0         8         10        
Vardas289             Pavarde289            9         10        10        5         9         0         
Vardas290             Pavarde290            1         3         8         4         1         1         
Vardas291             Pavarde291            7         7         0         0         6         2         
Vardas292             Pavarde292            5         7         8         4         7         8         
Vardas293             Pavarde293            5         0         8         10        7         4         
Vardas294             Pavarde294            1         5         0         2         5         3         
Vardas295             Pavarde295            4         6         7         3         6         4         
Vardas296             Pavarde296            9         9         7         7         6         1         
Vardas297             Pavarde297            8         7         3         5         1         9         
Vardas298             Pavarde298            2         9         2         1         4         0         
Vardas299             Pavarde299            10        4         5         10        2         1         
Vardas300             Pavarde300            9         4         6         5         9         10        
Vardas301             Pavarde301            3         3         5         3         6         2         
Vardas302             Pavarde302            4         6         8         7         1         7         
Vardas303             Pavarde303            7         4         5         10        8         5         
Vardas304             Pavarde304            4         10        8         1         10        9         
Vardas305             Pavarde305            2         4         2         5         4         4         
Vardas306             Pavarde306            4         8         8         3         4         9         
Vardas307             Pavarde307            7         6         3         10        1         4         
Vardas308             Pavarde308            8         4         3         5         7         6         
Vardas309             Pavarde309            7         9         5         9         8         1         
Vardas310             Pavarde310            6         10        10        4         7         5         
Vardas311             Pavarde311            3         7         7         10        6         8         
Vardas312             Pavarde312            4         0         1         6         5         2         
Vardas313             Pavarde313            8         1         0         3         4         5         
Vardas314             Pavarde314            6         5         4         2         5         5         
Vardas315             Pavarde315            9         7         10        6         3         4         
Vardas316             Pavarde316            9         3         1         4         2         0         
Vardas317             Pavarde317            8         2         5         4         4         10        
Vardas318             Pavarde318            6         10        4         2         3         3         
Vardas319             Pavarde319            10        4         2         1         7         5         
Vardas320             Pavarde320            8         1         10        7         10        7         
Vardas321             Pavarde321            8         1         0         8         4         6         
Vardas322             Pavarde322            3         0         9         5         3         3         
Vardas323             Pavarde323            9         0         10        4         10        5         
Vardas324             Pavarde324            3         1         6         7         0         1         
Vardas325             Pavarde325            10        4         8         5         0         2         
Vardas326             Pavarde326            0         2         3         3         1         5         
Vardas327             Pavarde327            4         6         10        5         1         4         
Vardas328             Pavarde328            5         0         1         0         2         8         
Vardas329             Pavarde329            7         8         10        6         5         0         
Vardas330             Pavarde330            9         7         3         3         7         4         
Vardas331             Pavarde331            2         6         5         1         3         9         
Vardas332             Pavarde332            0         4         8         8         1         4         
Vardas333             Pavarde333            5         3         2         1         9         8         
Vardas334             Pavarde334            7         1         2         2         5         5         
Vardas335             Pavarde335            3         5         7         4         5         1         
Vardas336             Pavarde336            7         8         6         9         5         6         
Vardas337             Pavarde337            2         1         9         2         9         1         
Vardas338             Pavarde338            7         1         5         6         9         0         
Vardas339             Pavarde339            6         8         3         9         3         4         
Vardas340             Pavarde340            8         4         8         8         9         8         
Vardas341             Pavarde341            6         8         4         6         6         0         
Vardas342             Pavarde342            0         3         7         7         7         5         
Vardas343             Pavarde343            5         4         10        5         10        10        
Vardas344             Pavarde344            4         8         4         2         1         10        
Vardas345             Pavarde345            10        5         7         0         5         7         
Vardas346             Pavarde346            6         1         4         7         8         4         
Vardas347             Pavarde347            4         8         0         2         9         0         
Vardas348             Pavarde348            3         0         5         10        6         10        
Vardas349             Pavarde349            7         1         9         7         1         1         
Vardas350             Pavarde350            10        8         7         7         7         1         
Vardas351             Pavarde351            3         3         4         8         6         2         
Vardas352             Pavarde352            2         1         7         5         4         0         
Vardas353             Pavarde353            0         1         9         4         8         0         
Vardas354             Pavarde354            10        4         9         2         8         1         
Vardas355             Pavarde355            7         4         3         0         9         7         
Vardas356             Pavarde356            4         2         2         7         2         2         
Vardas357             Pavarde357            10        2         4         5         10        0         
Vardas358             Pavarde358            4         10        5         3         7         2         
Vardas359             Pavarde359            0         3         1         2         2         6         
Vardas360             Pavarde360            0         3         2         1         8         1         
Vardas361             Pavarde361            3         9         10        10        0         6         
Vardas362             Pavarde362            8         5         1         4         4         0         
Vardas363             Pavarde363            8         4         5         3         5         5         
Vardas364             Pavarde364            5         10        6         6         0         10        
Vardas365             Pavarde365            1         8         8         3         0         7         
Vardas366             Pavarde366            7         9         3         7         8         8         
Vardas367             Pavarde367            0         6         1         2         5         9         
Vardas368             Pavarde368            3         7         10        10        0         1         
Vardas369             Pavarde369            8         6         3         2         4         0         
Vardas370             Pavarde370            6         0         8         6         5         4         
Vardas371             Pavarde371            4         9         1         3         1         7         
Vardas372             Pavarde372            6         2         3         7         8         1         
Vardas373             Pavarde373            7         1         1         8         3         0         
Vardas374             Pavarde374            0         0         6         2         7         6         
Vardas375             Pavarde375            9         8         5         1         7         8         
Vardas376             Pavarde376            2         6         6         2         3         4         
Vardas377             Pavarde377            2         0         4         8         3         8         
Vardas378             Pavarde378            8         9         0         7         9         1         
Vardas379             Pavarde379            9         4         5         9         9         4         
Vardas380             Pavarde380            2         4         3         5         1         4         
Vardas381             Pavarde381            10        7         0         0         3         1         
Vardas382             Pavarde382            9         1         10        5         9         10        
Vardas383             Pavarde383            2         6         0         4         8         3         
Vardas384             Pavarde384            8         3         6         8         1         0         
Vardas385             Pavarde385            1         4         1         1         10        7         
Vardas386             Pavarde386            10        5         5         7         5         8         
Vardas387             Pavarde387            9         5         6         3         10        6         
Vardas388             Pavarde388            4         2         7         2         4         10        
Vardas389             Pavarde389            2         0         7         8         6         7         
Vardas390             Pavarde390            7         6         5         6         8         2         
Vardas391             Pavarde391            5         4         2         5         5         3         
Vardas392             Pavarde392            7         10        1         1         0         10        
Vardas393             Pavarde393            7         9         4         10        1         9         
Vardas394             Pavarde394            4         6         8         1         6         0         
Vardas395             Pavarde395            1         0         4         6         7         7         
Vardas396             Pavarde396            10        0         6         7         10        2         
Vardas397             Pavarde397            2         4         7         3         8         6         
Vardas398             Pavarde398            6         7         2         0         1         4         
Vardas399             Pavarde399            2         3         6         4         0         10        
Vardas400             Pavarde400            0         6         4         8         9         0         
Vardas401             Pavarde401            10        5         9         0         9         2         
Vardas402             Pavarde402            0         5         0         0         1         0         
Vardas403             Pavarde403            7         9         4         5         0         1         
Vardas404             Pavarde404            7         10        10        10        3         2         
Vardas405             Pavarde405            5         1         8         10        10        4         
Vardas406             Pavarde406            0         1         2         1         0         3         
Vardas407             Pavarde407            0         0         1         9         2         7         
Vardas408             Pavarde408            9         9         8         8         7         0         
Vardas409             Pavarde409            3         2         10        9         9         10        
Vardas410             Pavarde410            6         5         0         6         9         4         
Vardas411             Pavarde411            3         0         9         9         10        9         
Vardas412             Pavarde412            2         4         2         6         10        5         
Vardas413             Pavarde413            3         5         3         9         2         2         
Vardas414             Pavarde414            2         1         0         10        6         5         
Vardas415             Pavarde415            0         4         6         9         2         5         
Vardas416             Pavarde416            7         5         9         8         4         1         
Vardas417             Pavarde417            2         4         5         2         4         4         
Vardas418             Pavarde418            10        8         8         4         1         9         
Vardas419             Pavarde419            0         4         10        3         4         7         
Vardas420             Pavarde420            3         0         6         8         0         5         
Vardas421             Pavarde421            1         1         1         4         5         3         
Vardas422             Pavarde422            2         8         7         3         4         3         
Vardas423             Pavarde423            4         10        1         5         7         1         
Vardas424             Pavarde424            2         6         5         2         3         5         
