Vardas                Pavarde               ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas112             Pavarde112            0         0         0         7         7         8         
Vardas113             Pavarde113            2         7         8         9         0         1         
Vardas114             Pavarde114            2         7         7         10        9         4         
Vardas115             Pavarde115            6         4         2         9         5         8         
Vardas116             Pavarde116            7         1         8         9         4         10        
Vardas117             Pavarde117            1         8         8         4         1         10        
Vardas118             Pavarde118            8         1         7         2         8         2         
Vardas119             Pavarde119            0         0         8         9         8         0         
Vardas120             Pavarde120            8         1         0         2         8         8         
Vardas121             Pavarde121            6         0         5         8         3         3         
Vardas122             Pavarde122            6         5         0         0         1         7         
Vardas123             Pavarde123            5         0         3         0         0         7         
Vardas124             Pavarde124            3         3         8         3         9         6         
Vardas125             Pavarde125            0         4         2         5         9         9         
Vardas126             Pavarde126            4         3         0         0         7         4         
Vardas127             Pavarde127            5         0         2         5         5         6         
Vardas128             Pavarde128            8         7         1         4         0         10        
Vardas129             Pavarde129            4         8         6         7         7         10        
Vardas130             Pavarde130            5         8         0         4         2         6         
Vardas131             Pavarde131            1         7         10        9         10        9         
Vardas132             Pavarde132            8         5         0         3         2         3         
Vardas133             Pavarde133            6         8         10        5         2         2         
Vardas134             Pavarde134            8         3         9         5         9         10        
Vardas135             Pavarde135            8         4         1         10        5         1         
Vardas136             Pavarde136            0         5         3         2         3         3         
Vardas137             Pavarde137            2         9         2         4         0         6         
Vardas138             Pavarde138            4         0         3         6         2         0         
Vardas139             Pavarde139            3         9         1         10        2         2         
Vardas140             Pavarde140            0         0         0         7         0         1         
Vardas141             Pavarde141            6         4         7         6         8         6         
Vardas142             Pavarde142            9         1         4         0         4         10        
Vardas143             Pavarde143            9         0         5         2         1         9         
Vardas144             Pavarde144            9         5         1         9         8         6         
Vardas145             Pavarde145            7         7         6         7         2         8         
Vardas146             Pavarde146            7         1         3         4         4         4         
Vardas147             Pavarde147            6         2         6         3         9         2         
Vardas148             Pavarde148            6         6         8         9         3         1         
Vardas149             Pavarde149            6         4         2         8         4         5         
Vardas150             Pavarde150            4         1         6         0         3         0         
Vardas151             Pavarde151            4         0         0         0         5         4         
Vardas152             Pavarde152            1         1         6         8         9         8         
Vardas153             Pavarde153            4         1         2         2         6         8         
Vardas154             Pavarde154            7         4         6         6         7         5         
Vardas155             Pavarde155            4         10        5         4         7         5         
Vardas156             Pavarde156            6         10        9         7         5         8         
Vardas157             Pavarde157            5         0         2         8         0         1         
Vardas158             Pavarde158            2         4         0         2         6         6         
Vardas159             Pavarde159            2         10        1         10        0         0         
Vardas160             Pavarde160            7         9         5         10        7         7         
Vardas161             Pavarde161            6         10        0         9         2         7         
Vardas162             Pavarde162            1         8         3         6         4         6         
Vardas163             Pavarde163            4         10        5         3         10        2         
Vardas164             Pavarde164            10        9         8         5         4         0         
Vardas165             Pavarde165            4         9         1         5         1         8         
Vardas166             Pavarde166            6         9         6         3         0         7         
Vardas167             Pavarde167            1         6         1         3         0         1         
Vardas168             Pavarde168            9         7         3         8         9         8         
Vardas169             Pavarde169            5         1         3         7         6         2         
Vardas170             Pavarde170            0         10        8         1         6         9         
Vardas171             Pavarde171            0         6         5         5         9         2         
Vardas172             Pavarde172            3         1         5         1         8         6         
Vardas173             Pavarde173            0         10        2         7         6         10        
Vardas174             Pavarde174            1         0         4         3         2         8         
Vardas175             Pavarde175            2         2         8         3         3         9         
Vardas176             Pavarde176            9         7         3         3         1         7         
Vardas177             Pavarde177            10        1         0         3         7         9         
Vardas178             Pavarde178            10        2         7         7         10        9         
Vardas179             Pavarde179            6         6         5         5         4         3         
Vardas180             Pavarde180            6         9         5         8         1         5         
Vardas181             Pavarde181            5         8         5         6         2         0         
Vardas182             Pavarde182            8         9         5         6         8         10        
Vardas183             Pavarde183            9         1         7         7         1         0         
Vardas184             Pavarde184            4         10        3         8         6         6         
Vardas185             Pavarde185            8         2         9         6         3         8         
Vardas186             Pavarde186            7         2         8         5         4         6         
Vardas187             Pavarde187            1         1         9         6         5         7         
Vardas188             Pavarde188            7         6         9         9         1         9         
Vardas189             Pavarde189            9         7         9         3         6         3         
Vardas190             Pavarde190            5         10        4         6         8         0         
Vardas191             Pavarde191            1         1         10        10        2         7         
Vardas192             Pavarde192            10        7         8         5         8         5         
Vardas193             Pavarde193            0         5         4         0         3         5         
Vardas194             Pavarde194            3         3         6         9         10        10        
Vardas195             Pavarde195            0         10        10        2         4         9         
Vardas196             Pavarde196            6         3         2         5         2         10        
Vardas197             Pavarde197            8         4         8         8         8         2         
Vardas198             Pavarde198            9         3         5         9         10        10        
Vardas199             Pavarde199            3         3         0         0         2         9         
Vardas200             Pavarde200            5         6         6         4         1         2         
Vardas201             Pavarde201            10        3         3         3         1         4         
Vardas202             Pavarde202            2         7         7         8         3         9         
Vardas203             Pavarde203            6         7         4         9         5         6         
Vardas204             Pavarde204            10        6         3         3         4         10        
Vardas205             Pavarde205            9         9         1         2         6         7         
Vardas206             Pavarde206            2         6         2         2         0         4         
Vardas207             Pavarde207            10        1         2         5         5         0         
Vardas208             Pavarde208            2         6         2         8         8         0         
Vardas209             Pavarde209            9         2         2         5         7         10        
Vardas210             Pavarde210            2         0         0         6         0         8         
Vardas211             Pavarde211            3         4         7         5         4         6         
Vardas212             Pavarde212            7         9         7         10        6         2         
Vardas213             Pavarde213            0         9         9         10        4         6         
Vardas214             Pavarde214            0         8         4         3         5         1         
Vardas215             Pavarde215            0         9         3         4         1         10        
Vardas216             Pavarde216            5         6         5         4         6         10        
Vardas217             Pavarde217            10        2         3         10        7         8         
Vardas218             Pavarde218            7         2         10        10        9         5         
Vardas219             Pavarde219            7         9         8         2         8         9         
Vardas220             Pavarde220            5         5         3         8         6         4         
Vardas221             Pavarde221            1         5         3         6         0         9         
Vardas222             Pavarde222            3         9         1         7         5         4         
Vardas223             Pavarde223            5         8         10        6         8         10        
Vardas224             Pavarde224            3         6         1         2         9         4         
Vardas225             Pavarde225            10        3         7         10        9         3         
Vardas226             Pavarde226            9         4         8         7         1         4         
Vardas227             Pavarde227            10        3         9         8         2         8         
Vardas228             Pavarde228            7         5         9         4         6         10        
Vardas229             Pavarde229            5         0         10        0         0         0         
Vardas230             Pavarde230            4         8         1         4         9         8         
Vardas231             Pavarde231            9         9         10        7         7         9         
Vardas232             Pavarde232            7         0         4         6         4         8         
Vardas233             Pavarde233            9         7         2         3         8         6         
Vardas234             Pavarde234            8         5         0         6         9         5         
Vardas235             Pavarde235            7         8         9         7         7         10        
Vardas236             Pavarde236            5         6         9         6         4         8         
Vardas237             Pavarde237            9         2         4         3         1         0         
Vardas238             Pavarde238            1         4         6         7         2         1         
Vardas239             Pavarde239            2         3         9         2         10        6         
Vardas240             Pavarde240            6         7         6         1         0         5         
Vardas241             Pavarde241            1         7         4         9         8         8         
Vardas242             Pavarde242            2         3         4         5         10        7         
Vardas243             Pavarde243            7         10        1         1         7         9         
Vardas244             Pavarde244            3         3         10        1         0         1         
Vardas245             Pavarde245            5         10        1         4         8         7         
Vardas246             Pavarde246            1         9         6         1         8         4         
Vardas247             Pavarde247            7         1         9         0         9         7         
Vardas248             Pavarde248            7         10        1         4         5         5         
Vardas249             Pavarde249            10        0         5         3         3         10        
Vardas250             Pavarde250            5         7         9         4         0         9         
Vardas251             Pavarde251            3         8         2         3         9         4         
Vardas252             Pavarde252            3         6         8         6         1         8         
Vardas253             Pavarde253            6         4         2         6         6         6         
Vardas254             Pavarde254            0         4         4         1         2         7         
Vardas255             Pavarde255            4         1         1         1         5         7         
Vardas256             Pavarde256            2         10        4         3         1         7         
Vardas257             Pavarde257            4         10        5         8         3         7         
Vardas258             Pavarde258            5         3         8         2         0         9         
Vardas259             Pavarde259            4         2         10        4         10        6         
Vardas260             Pavarde260            4         1         0         10        4         9         
Vardas261             Pavarde261            10        0         3         10        5         7         
Vardas262             Pavarde262            9         8         4         6         7         4         
Vardas263             Pavarde263            2         1         6         7         0         6         
Vardas264             Pavarde264            6         5         2         0         0         5         
Vardas265             Pavarde265            0         10        5         1         7         5         
Vardas266             Pavarde266            1         4         3         8         0         0         
Vardas267             Pavarde267            4         4         6         6         10        2         
Vardas268             Pavarde268            2         10        2         9         0         0         
Vardas269             Pavarde269            1         4         1         7         10        5         
Vardas270             Pavarde270            3         5         3         4         4         9         
Vardas271             Pavarde271            8         9         5         5         6         2         
Vardas272             Pavarde272            8         6         10        4         0         0         
Vardas273             Pavarde273            7         7         7         2         6         4         
Vardas274             Pavarde274            3         3         1         0         2         4         
Vardas275             Pavarde275            5         10        6         8         3         2         
Vardas276             Pavarde276            5         1         10        8         4         9         
Vardas277             Pavarde277            3         0         5         0         5         0         
Vardas278             Pavarde278            0         3         0         5         2         7         
Vardas279             Pavarde279            5         4         10        1         9         1         
Vardas280             Pavarde280            10        1         3         7         9         2         
Vardas281             Pavarde281            5         3         6         9         3         10        
Vardas282             Pavarde282            9         1         7         2         4         1         
Vardas283             Pavarde283            0         10        5         7         10        9         
Vardas284             Pavarde284            2         3         6         0         4         4         
Vardas285             Pavarde285            3         7         9         9         7         9         
Vardas286             Pavarde286            9         2         7         5         10        2         
Vardas287             Pavarde287            10        10        10        3         10        4         
Vardas288             Pavarde288            5         1         6         0         3         2         
Vardas289             Pavarde289            6         1         9         10        8         8         
Vardas290             Pavarde290            1         0         7         10        0         4         
Vardas291             Pavarde291            3         0         4         0         5         4         
Vardas292             Pavarde292            4         6         3         1         4         5         
Vardas293             Pavarde293            7         0         7         1         8         7         
Vardas294             Pavarde294            1         6         1         6         7         9         
Vardas295             Pavarde295            8         2         3         4         0         6         
Vardas296             Pavarde296            10        0         2         3         3         3         
Vardas297             Pavarde297            5         5         1         9         9         6         
Vardas298             Pavarde298            2         6         5         5         10        7         
Vardas299             Pavarde299            6         5         9         1         1         9         
Vardas300             Pavarde300            6         7         10        8         7         10        
Vardas301             Pavarde301            3         8         5         6         5         0         
Vardas302             Pavarde302            3         4         8         3         8         9         
Vardas303             Pavarde303            5         6         2         0         5         10        
Vardas304             Pavarde304            5         10        3         6         0         5         
Vardas305             Pavarde305            5         10        0         10        6         7         
Vardas306             Pavarde306            3         7         0         6         2         6         
Vardas307             Pavarde307            6         9         0         0         1         8         
Vardas308             Pavarde308            7         8         3         7         1         9         
Vardas309             Pavarde309            6         5         9         6         3         2         
Vardas310             Pavarde310            5         3         10        3         8         8         
Vardas311             Pavarde311            5         9         7         3         5         0         
Vardas312             Pavarde312            8         10        9         8         1         8         
Vardas313             Pavarde313            3         1         3         5         3         10        
Vardas314             Pavarde314            9         5         3         10        2         1         
Vardas315             Pavarde315            5         1         9         4         8         5         
Vardas316             Pavarde316            4         7         5         3         8         8         
Vardas317             Pavarde317            6         10        9         4         3         2         
Vardas318             Pavarde318            4         6         4         2         9         3         
Vardas319             Pavarde319            4         7         2         6         3         10        
Vardas320             Pavarde320            2         5         5         3         7         6         
Vardas321             Pavarde321            4         7         6         10        7         9         
Vardas322             Pavarde322            2         1         0         9         0         2         
Vardas323             Pavarde323            9         10        3         4         4         8         
Vardas324             Pavarde324            10        3         8         6         9         5         
Vardas325             Pavarde325            3         2         9         0         7         3         
Vardas326             Pavarde326            7         8         5         1         9         4         
Vardas327             Pavarde327            3         0         10        3         3         3         
Vardas328             Pavarde328            9         2         8         9         5         1         
Vardas329             Pavarde329            2         3         5         1         8         7         
Vardas330             Pavarde330            3         10        2         10        7         0         
Vardas331             Pavarde331            2         7         3         2         6         9         
Vardas332             Pavarde332            8         5         8         1         3         8         
Vardas333             Pavarde333            6         7         9         8         5         4         
Vardas334             Pavarde334            6         0         0         2         2         10        
Vardas335             Pavarde335            2         4         6         7         6         7         
Vardas336             Pavarde336            7         3         9         4         2         9         
Vardas337             Pavarde337            1         7         7         0         1         8         
Vardas338             Pavarde338            4         7         7         10        4         1         
Vardas339             Pavarde339            7         3         10        1         4         9         
Vardas340             Pavarde340            9         5         6         2         0         6         
Vardas341             Pavarde341            6         2         5         0         1         1         
Vardas342             Pavarde342            8         0         1         1         3         9         
Vardas343             Pavarde343            0         8         2         4         1         3         
Vardas344             Pavarde344            1         6         3         9         2         9         
Vardas345             Pavarde345            9         2         10        3         5         3         
Vardas346             Pavarde346            5         6         1         7         9         2         
Vardas347             Pavarde347            2         5         6         0         3         10        
Vardas348             Pavarde348            8         0         9         2         0         5         
Vardas349             Pavarde349            3         6         3         6         2         2         
Vardas350             Pavarde350            7         4         2         3         5         4         
Vardas351             Pavarde351            7         2         3         7         10        8         
Vardas352             Pavarde352            4         2         3         7         10        3         
Vardas353             Pavarde353            1         4         8         3         10        10        
Vardas354             Pavarde354            9         4         1         4         5         9         
Vardas355             Pavarde355            0         4         9         4         6         9         
Vardas356             Pavarde356            9         1         1         5         0         10        
Vardas357             Pavarde357            3         1         8         4         8         0         
Vardas358             Pavarde358            4         5         7         6         4         1         
Vardas359             Pavarde359            10        6         7         9         4         5         
Vardas360             Pavarde360            10        9         2         2         1         3         
Vardas361             Pavarde361            1         6         9         8         0         3         
Vardas362             Pavarde362            4         7         5         2         3         3         
Vardas363             Pavarde363            2         5         2         0         0         7         
Vardas364             Pavarde364            4         5         5         6         5         8         
Vardas365             Pavarde365            7         10        1         4         3         5         
Vardas366             Pavarde366            0         10        8         9         8         2         
Vardas367             Pavarde367            10        10        8         2         0         3         
Vardas368             Pavarde368            0         2         8         0         9         8         
Vardas369             Pavarde369            8         7         6         9         10        5         
Vardas370             Pavarde370            3         10        10        3         1         4         
Vardas371             Pavarde371            6         9         6         10        7         1         
Vardas372             Pavarde372            5         8         4         3         6         10        
Vardas373             Pavarde373            8         7         2         0         2         2         
Vardas374             Pavarde374            5         3         0         0         7         5         
Vardas375             Pavarde375            3         2         10        1         1         5         
Vardas376             Pavarde376            4         9         1         4         2         2         
Vardas377             Pavarde377            2         5         2         3         4         5         
Vardas378             Pavarde378            2         2         8         2         5         2         
Vardas379             Pavarde379            0         8         6         9         1         6         
Vardas380             Pavarde380            6         2         2         0         5         6         
Vardas381             Pavarde381            10        4         10        5         4         6         
Vardas382             Pavarde382            2         7         3         9         8         4         
Vardas383             Pavarde383            10        10        0         10        0         8         
Vardas384             Pavarde384            1         10        7         0         2         1         
Vardas385             Pavarde385            8         6         9         1         3         6         
Vardas386             Pavarde386            6         3         7         8         4         7         
Vardas387             Pavarde387            0         4         10        4         5         2         
Vardas388             Pavarde388            3         3         4         4         6         4         
Vardas389             Pavarde389            1         0         9         7         10        4         
Vardas390             Pavarde390            7         3         2         5         4         4         
Vardas391             Pavarde391            5         9         2         8         2         3         
Vardas392             Pavarde392            5         4         8         0         4         5         
Vardas393             Pavarde393            2         2         4         6         3         1         
Vardas394             Pavarde394            9         8         8         5         7         10        
Vardas395             Pavarde395            9         7         2         7         10        2         
Vardas396             Pavarde396            5         4         0         1         2         10        
Vardas397             Pavarde397            6         5         8         4         8         10        
Vardas398             Pavarde398            9         1         6         3         4         7         
Vardas399             Pavarde399            4         5         5         7         8         6         
Vardas400             Pavarde400            5         5         3         1         10        3         
Vardas401             Pavarde401            10        10        1         4         2         1         
Vardas402             Pavarde402            3         5         1         5         10        6         
Vardas403             Pavarde403            3         10        4         8         3         0         
Vardas404             Pavarde404            7         6         6         3         6         2         
Vardas405             Pavarde405            2         7         2         6         1         4         
Vardas406             Pavarde406            10        7         6         3         7         0         
Vardas407             Pavarde407            6         8         3         10        0         5         
Vardas408             Pavarde408            4         9         10        4         1         8         
Vardas409             Pavarde409            9         5         4         7         2         9         
Vardas410             Pavarde410            3         2         5         6         5         6         
Vardas411             Pavarde411            7         1         4         4         4         0         
Vardas412             Pavarde412            9         7         1         4         8         9         
Vardas413             Pavarde413            4         6         10        4         5         7         
Vardas414             Pavarde414            3         5         5         9         2         0         
Vardas415             Pavarde415            5         8         10        1         10        2         
Vardas416             Pavarde416            3         9         8         8         2         7         
Vardas417             Pavarde417            4         5         0         2         6         8         
Vardas418             Pavarde418            4         10        6         4         0         3         
Vardas419             Pavarde419            7         8         9         6         2         9         
Vardas420             Pavarde420            0         6         2         5         7         1         
Vardas421             Pavarde421            6         4         3         8         7         8         
Vardas422             Pavarde422            8         5         6         1         9         1         
Vardas423             Pavarde423            3         10        0         9         1         8         
Vardas424             Pavarde424            1         0         8         10        7         10        
Vardas425             Pavarde425            6         5         4         5         3         6         
Vardas426             Pavarde426            6         4         1         8         2         2         
Vardas427             Pavarde427            4         1         6         4         3         1         
Vardas428             Pavarde428            8         5         9         2         1         8         
Vardas429             Pavarde429            1         0         6         8         1         9         
Vardas430             Pavarde430            9         2         2         1         1         7         
Vardas431             Pavarde431            5         6         9         6         0         8         
Vardas432             Pavarde432            7         4         7         10        10        2         
Vardas433             Pavarde433            8         4         1         0         8         3         
Vardas434             Pavarde434            3         4         3         9         1         0         
Vardas435             Pavarde435            5         2         5         2         10        4         
Vardas436             Pavarde436            8         5         4         1         5         1         
Vardas437             Pavarde437            4         6         5         5         1         0         
Vardas438             Pavarde438            9         0         10        10        4         1         
Vardas439             Pavarde439            0         3         1         10        1         0         
Vardas440             Pavarde440            7         4         6         5         3         1         
Vardas441             Pavarde441            7         4         2         1         5         8         
Vardas442             Pavarde442            5         5         2         4         1         1         
Vardas443             Pavarde443            7         2         10        8         7         5         
Vardas444             Pavarde444            9         4         9         7         1         6         
Vardas445             Pavarde445            10        10        1         5         4         2         
Vardas446             Pavarde446            3         8         10        6         8         4         
Vardas447             Pavarde447            2         8         9         8         10        1         
Vardas448             Pavarde448            4         3         4         9         3         5         
Vardas449             Pavarde449            2         4         10        6         3         0         
Vardas450             Pavarde450            8         6         8         3         3         1         
Vardas451             Pavarde451            3         4         4         5         1         5         
Vardas452             Pavarde452            3         4         9         4         8         4         
Vardas453             Pavarde453            9         7         7         10        8         4         
Vardas454             Pavarde454            8         6         7         1         0         6         
Vardas455             Pavarde455            1         6         7         2         0         10        
Vardas456             Pavarde456            0         1         6         3         1         5         
Vardas457             Pavarde457            0         3         0         10        4         7         
Vardas458             Pavarde458            10        5         2         6         6         5         
Vardas459             Pavarde459            4         0         0         1         0         1         
Vardas460             Pavarde460            2         2         10        8         0         0         
Vardas461             Pavarde461            3         3         1         2         3         7         
Vardas462             Pavarde462            6         0         4         5         8         7         
Vardas463             Pavarde463            2         2         5         0         6         3         
Vardas464             Pavarde464            6         10        0         1         10        7         
Vardas465             Pavarde465            8         2         10        7         10        4         
Vardas466             Pavarde466            4         6         8         10        1         9         
Vardas467             Pavarde467            0         3         5         7         8         6         
Vardas468             Pavarde468            9         5         10        0         1         0         
Vardas469             Pavarde469            5         4         2         7         8         1         
Vardas470             Pavarde470            3         6         0         5         3         7         
Vardas471             Pavarde471            2         4         1         5         10        0         
Vardas472             Pavarde472            0         7         0         7         6         0         
Vardas473             Pavarde473            1         10        8         1         4         5         
Vardas474             Pavarde474            8         8         1         10        9         0         
Vardas475             Pavarde475            8         2         8         7         0         6         
Vardas476             Pavarde476            6         8         1         5         5         4         
Vardas477             Pavarde477            8         8         3         3         7         5         
Vardas478             Pavarde478            4         5         4         9         9         8         
Vardas479             Pavarde479            6         2         2         4         4         10        
Vardas480             Pavarde480            10        8         6         6         0         5         
Vardas481             Pavarde481            3         3         7         0         5         3         
Vardas482             Pavarde482            9         2         2         0         9         7         
Vardas483             Pavarde483            7         8         9         0         2         2         
Vardas484             Pavarde484            8         3         9         0         4         4         
Vardas485             Pavarde485            9         2         10        1         9         1         
Vardas486             Pavarde486            8         7         4         10        0         10        
Vardas487             Pavarde487            0         2         5         10        4         6         
Vardas488             Pavarde488            9         6         6         10        4         3         
Vardas489             Pavarde489            7         10        4         1         6         5         
Vardas490             Pavarde490            9         3         10        6         1         1         
Vardas491             Pavarde491            4         7         6         2         4         9         
Vardas492             Pavarde492            6         9         9         4         6         4         
Vardas493             Pavarde493            10        2         3         1         4         5         
Vardas494             Pavarde494            8         2         10        8         6         2         
Vardas495             Pavarde495            4         2         5         6         7         5         
Vardas496             Pavarde496            7         3         5         9         2         2         
Vardas497             Pavarde497            0         1         5         6         4         0         
Vardas498             Pavarde498            5         9         4         2         4         4         
Vardas499             Pavarde499            6         6         5         10        6         4         
Vardas500             Pavarde500            3         2         4         0         10        9         
Vardas501             Pavarde501            9         5         2         9         4         2         
Vardas502             Pavarde502            0         4         3         9         7         6         
Vardas503             Pavarde503            10        0         2         5         8         1         
Vardas504             Pavarde504            1         5         4         7         1         5         
Vardas505             Pavarde505            3         0         0         4         6         5         
Vardas506             Pavarde506            9         10        10        9         7         4         
Vardas507             Pavarde507            8         8         7         3         0         8         
Vardas508             Pavarde508            1         7         4         2         0         5         
Vardas509             Pavarde509            10        9         5         6         7         6         
Vardas510             Pavarde510            2         10        0         0         7         4         
Vardas511             Pavarde511            3         3         10        6         3         4         
Vardas512             Pavarde512            5         4         1         1         6         9         
Vardas513             Pavarde513            6         7         10        7         6         2         
Vardas514             Pavarde514            0         4         7         6         4         3         
Vardas515             Pavarde515            1         1         1         7         9         4         
Vardas516             Pavarde516            8         9         2         4         7         9         
Vardas517             Pavarde517            7         3         7         6         8         10        
Vardas518             Pavarde518            2         5         6         10        10        5         
Vardas519             Pavarde519            10        3         2         6         0         2         
Vardas520             Pavarde520            9         0         10        10        5         2         
Vardas521             Pavarde521            2         2         2         6         0         1         
Vardas522             Pavarde522            8         7         9         3         6         6         
Vardas523             Pavarde523            7         3         2         7         5         0         
Vardas524             Pavarde524            10        2         6         1         9         7         
Vardas525             Pavarde525            1         2         5         2         5         9         
Vardas526             Pavarde526            7         8         5         3         4         1         
Vardas527             Pavarde527            8         5         7         3         1         10        
Vardas528             Pavarde528            1         5         5         8         7         10        
Vardas529             Pavarde529            4         2         0         0         3         5         
Vardas530             Pavarde530            8         4         7         5         6         6         
Vardas531             Pavarde531            1         9         0         1         7         1         
Vardas532             Pavarde532            2         7         7         4         9         9         
Vardas533             Pavarde533            6         9         8         0         7         10        
Vardas534             Pavarde534            2         9         4         5         0         10        
Vardas535             Pavarde535            9         8         10        4         1         0         
