-------------------------------------------------
Vardas           Pavarde        Galutinis (Vid.)
Vardas165         Pavarde165          6.40           
Vardas166         Pavarde166          6.12           
Vardas168         Pavarde168          7.68           
Vardas170         Pavarde170          7.40           
Vardas172         Pavarde172          5.04           
Vardas173         Pavarde173          8.00           
Vardas174         Pavarde174          5.60           
Vardas175         Pavarde175          6.84           
Vardas176         Pavarde176          6.04           
Vardas177         Pavarde177          7.08           
Vardas178         Pavarde178          8.28           
Vardas180         Pavarde180          5.32           
Vardas182         Pavarde182          8.88           
Vardas184         Pavarde184          6.08           
Vardas185         Pavarde185          7.04           
Vardas186         Pavarde186          5.68           
Vardas187         Pavarde187          5.96           
Vardas188         Pavarde188          7.96           
Vardas191         Pavarde191          6.12           
Vardas192         Pavarde192          6.04           
Vardas194         Pavarde194          8.48           
Vardas195         Pavarde195          7.48           
Vardas196         Pavarde196          7.44           
Vardas198         Pavarde198          8.88           
Vardas199         Pavarde199          6.04           
Vardas202         Pavarde202          7.56           
Vardas203         Pavarde203          6.08           
Vardas204         Pavarde204          8.08           
Vardas205         Pavarde205          6.36           
Vardas209         Pavarde209          8.00           
Vardas210         Pavarde210          5.44           
Vardas211         Pavarde211          5.44           
Vardas213         Pavarde213          6.16           
Vardas215         Pavarde215          7.36           
Vardas216         Pavarde216          8.08           
Vardas217         Pavarde217          7.36           
Vardas218         Pavarde218          6.04           
Vardas219         Pavarde219          8.12           
Vardas221         Pavarde221          6.60           
Vardas223         Pavarde223          8.96           
Vardas227         Pavarde227          7.36           
Vardas228         Pavarde228          8.48           
Vardas230         Pavarde230          6.88           
Vardas231         Pavarde231          8.76           
Vardas232         Pavarde232          6.48           
Vardas233         Pavarde233          5.92           
Vardas234         Pavarde234          5.24           
Vardas235         Pavarde235          9.04           
Vardas236         Pavarde236          7.20           
Vardas239         Pavarde239          5.68           
Vardas241         Pavarde241          7.12           
Vardas242         Pavarde242          6.12           
Vardas243         Pavarde243          7.48           
Vardas245         Pavarde245          6.44           
Vardas247         Pavarde247          6.28           
Vardas248         Pavarde248          5.16           
Vardas249         Pavarde249          7.68           
Vardas250         Pavarde250          7.40           
Vardas252         Pavarde252          6.72           
Vardas253         Pavarde253          5.52           
Vardas254         Pavarde254          5.08           
Vardas255         Pavarde255          5.16           
Vardas256         Pavarde256          5.80           
Vardas257         Pavarde257          6.60           
Vardas258         Pavarde258          6.84           
Vardas259         Pavarde259          6.00           
Vardas260         Pavarde260          6.92           
Vardas261         Pavarde261          6.44           
Vardas262         Pavarde262          5.12           
Vardas270         Pavarde270          6.92           
Vardas276         Pavarde276          7.64           
Vardas278         Pavarde278          5.00           
Vardas281         Pavarde281          8.08           
Vardas283         Pavarde283          7.96           
Vardas285         Pavarde285          8.20           
Vardas287         Pavarde287          5.84           
Vardas289         Pavarde289          7.52           
Vardas293         Pavarde293          6.04           
Vardas294         Pavarde294          7.08           
Vardas297         Pavarde297          5.92           
Vardas298         Pavarde298          6.44           
Vardas299         Pavarde299          7.16           
Vardas300         Pavarde300          9.04           
Vardas302         Pavarde302          7.48           
Vardas303         Pavarde303          7.44           
Vardas305         Pavarde305          6.68           
Vardas306         Pavarde306          5.04           
Vardas307         Pavarde307          6.08           
Vardas308         Pavarde308          7.48           
Vardas310         Pavarde310          7.12           
Vardas312         Pavarde312          7.68           
Vardas313         Pavarde313          7.20           
Vardas315         Pavarde315          5.16           
Vardas316         Pavarde316          6.96           
Vardas319         Pavarde319          7.76           
Vardas320         Pavarde320          5.36           
Vardas321         Pavarde321          8.12           
Vardas323         Pavarde323          7.20           
Vardas324         Pavarde324          5.88           
Vardas329         Pavarde329          5.72           
Vardas331         Pavarde331          7.00           
Vardas332         Pavarde332          6.80           
Vardas333         Pavarde333          5.20           
Vardas334         Pavarde334          6.80           
Vardas335         Pavarde335          6.20           
Vardas336         Pavarde336          7.40           
Vardas337         Pavarde337          6.08           
Vardas339         Pavarde339          7.40           
Vardas340         Pavarde340          5.36           
Vardas342         Pavarde342          6.44           
Vardas344         Pavarde344          7.08           
Vardas347         Pavarde347          7.28           
Vardas351         Pavarde351          7.12           
Vardas353         Pavarde353          8.08           
Vardas354         Pavarde354          7.24           
Vardas355         Pavarde355          7.24           
Vardas356         Pavarde356          7.28           
Vardas359         Pavarde359          5.88           
Vardas364         Pavarde364          6.80           
Vardas365         Pavarde365          5.00           
Vardas368         Pavarde368          6.32           
Vardas369         Pavarde369          6.20           
Vardas372         Pavarde372          8.08           
Vardas379         Pavarde379          5.52           
Vardas381         Pavarde381          6.24           
Vardas383         Pavarde383          7.20           
Vardas385         Pavarde385          5.76           
Vardas386         Pavarde386          6.44           
Vardas394         Pavarde394          8.96           
Vardas396         Pavarde396          6.96           
Vardas397         Pavarde397          8.48           
Vardas398         Pavarde398          6.04           
Vardas399         Pavarde399          5.92           
Vardas402         Pavarde402          5.52           
Vardas407         Pavarde407          5.16           
Vardas408         Pavarde408          7.04           
Vardas409         Pavarde409          7.56           
Vardas410         Pavarde410          5.28           
Vardas412         Pavarde412          7.72           
Vardas413         Pavarde413          6.52           
Vardas416         Pavarde416          6.60           
Vardas417         Pavarde417          6.16           
Vardas419         Pavarde419          7.96           
Vardas421         Pavarde421          7.04           
Vardas423         Pavarde423          6.64           
Vardas424         Pavarde424          8.08           
Vardas425         Pavarde425          5.44           
Vardas428         Pavarde428          6.80           
Vardas429         Pavarde429          6.68           
Vardas430         Pavarde430          5.40           
Vardas431         Pavarde431          6.88           
Vardas441         Pavarde441          6.32           
Vardas443         Pavarde443          5.72           
Vardas444         Pavarde444          6.00           
Vardas446         Pavarde446          5.20           
Vardas453         Pavarde453          5.68           
Vardas454         Pavarde454          5.36           
Vardas455         Pavarde455          7.28           
Vardas457         Pavarde457          5.56           
Vardas458         Pavarde458          5.32           
Vardas461         Pavarde461          5.16           
Vardas462         Pavarde462          6.04           
Vardas464         Pavarde464          6.36           
Vardas465         Pavarde465          5.36           
Vardas466         Pavarde466          7.72           
Vardas467         Pavarde467          5.44           
Vardas470         Pavarde470          5.56           
Vardas475         Pavarde475          5.60           
Vardas477         Pavarde477          5.32           
Vardas478         Pavarde478          7.28           
Vardas479         Pavarde479          7.44           
Vardas480         Pavarde480          5.40           
Vardas482         Pavarde482          5.96           
Vardas486         Pavarde486          8.32           
Vardas487         Pavarde487          5.28           
Vardas489         Pavarde489          5.24           
Vardas491         Pavarde491          7.24           
Vardas492         Pavarde492          5.12           
Vardas499         Pavarde499          5.04           
Vardas500         Pavarde500          6.92           
Vardas502         Pavarde502          5.44           
Vardas506         Pavarde506          6.00           
Vardas507         Pavarde507          6.88           
Vardas509         Pavarde509          6.56           
Vardas512         Pavarde512          6.76           
Vardas516         Pavarde516          7.80           
Vardas517         Pavarde517          8.48           
Vardas518         Pavarde518          5.64           
Vardas522         Pavarde522          6.24           
Vardas524         Pavarde524          6.44           
Vardas525         Pavarde525          6.60           
Vardas527         Pavarde527          7.92           
Vardas528         Pavarde528          8.08           
Vardas530         Pavarde530          6.00           
Vardas532         Pavarde532          7.72           
Vardas533         Pavarde533          8.40           
Vardas534         Pavarde534          7.60           
Vardas536         Pavarde536          8.60           
Vardas540         Pavarde540          5.44           
Vardas541         Pavarde541          5.28           
Vardas542         Pavarde542          7.68           
Vardas544         Pavarde544          6.08           
Vardas546         Pavarde546          6.88           
Vardas548         Pavarde548          5.84           
Vardas549         Pavarde549          5.92           
Vardas554         Pavarde554          8.72           
Vardas555         Pavarde555          5.52           
Vardas557         Pavarde557          7.28           
Vardas559         Pavarde559          7.60           
Vardas563         Pavarde563          6.08           
Vardas564         Pavarde564          5.28           
Vardas567         Pavarde567          5.88           
Vardas569         Pavarde569          7.32           
Vardas572         Pavarde572          7.92           
Vardas573         Pavarde573          8.00           
Vardas574         Pavarde574          8.00           
Vardas577         Pavarde577          7.08           
Vardas579         Pavarde579          5.00           
Vardas584         Pavarde584          5.12           
Vardas585         Pavarde585          7.44           
Vardas586         Pavarde586          6.44           
Vardas587         Pavarde587          7.56           
Vardas588         Pavarde588          6.04           
Vardas591         Pavarde591          5.00           
Vardas594         Pavarde594          5.80           
Vardas595         Pavarde595          5.36           
Vardas599         Pavarde599          7.36           
Vardas601         Pavarde601          7.40           
Vardas602         Pavarde602          7.08           
Vardas603         Pavarde603          5.40           
Vardas605         Pavarde605          5.32           
Vardas607         Pavarde607          6.68           
Vardas613         Pavarde613          7.12           
Vardas614         Pavarde614          7.64           
Vardas617         Pavarde617          7.68           
Vardas618         Pavarde618          5.52           
Vardas619         Pavarde619          6.40           
Vardas622         Pavarde622          5.80           
Vardas623         Pavarde623          8.04           
Vardas625         Pavarde625          7.40           
Vardas628         Pavarde628          5.80           
Vardas630         Pavarde630          8.80           
Vardas632         Pavarde632          6.32           
Vardas633         Pavarde633          5.76           
Vardas635         Pavarde635          5.96           
Vardas637         Pavarde637          7.12           
Vardas642         Pavarde642          5.24           
Vardas643         Pavarde643          8.72           
Vardas644         Pavarde644          6.00           
Vardas647         Pavarde647          5.84           
Vardas648         Pavarde648          8.64           
Vardas650         Pavarde650          5.60           
Vardas652         Pavarde652          7.56           
Vardas653         Pavarde653          6.60           
Vardas655         Pavarde655          6.72           
Vardas658         Pavarde658          8.40           
Vardas661         Pavarde661          5.28           
Vardas662         Pavarde662          5.84           
Vardas666         Pavarde666          5.80           
Vardas671         Pavarde671          6.56           
Vardas672         Pavarde672          5.40           
Vardas674         Pavarde674          6.20           
Vardas675         Pavarde675          5.20           
Vardas676         Pavarde676          6.44           
Vardas677         Pavarde677          8.32           
Vardas678         Pavarde678          5.84           
Vardas679         Pavarde679          8.36           
Vardas682         Pavarde682          6.36           
Vardas683         Pavarde683          6.64           
Vardas685         Pavarde685          6.88           
Vardas687         Pavarde687          5.16           
Vardas688         Pavarde688          8.08           
Vardas689         Pavarde689          8.32           
Vardas692         Pavarde692          5.92           
Vardas693         Pavarde693          7.36           
Vardas694         Pavarde694          5.24           
Vardas695         Pavarde695          5.96           
Vardas696         Pavarde696          6.48           
Vardas697         Pavarde697          7.24           
Vardas698         Pavarde698          7.28           
Vardas699         Pavarde699          5.76           
Vardas701         Pavarde701          8.56           
Vardas702         Pavarde702          5.32           
Vardas704         Pavarde704          8.60           
Vardas705         Pavarde705          6.04           
Vardas707         Pavarde707          8.40           
Vardas710         Pavarde710          7.76           
Vardas713         Pavarde713          7.16           
Vardas714         Pavarde714          8.56           
Vardas715         Pavarde715          6.32           
Vardas716         Pavarde716          5.56           
Vardas720         Pavarde720          8.16           
Vardas721         Pavarde721          5.04           
Vardas728         Pavarde728          7.92           
Vardas730         Pavarde730          7.00           
Vardas732         Pavarde732          8.08           
Vardas733         Pavarde733          6.04           
Vardas734         Pavarde734          7.24           
Vardas738         Pavarde738          6.40           
Vardas739         Pavarde739          8.48           
Vardas740         Pavarde740          5.48           
Vardas742         Pavarde742          5.32           
Vardas744         Pavarde744          8.00           
Vardas747         Pavarde747          5.12           
Vardas751         Pavarde751          6.04           
Vardas753         Pavarde753          6.12           
Vardas756         Pavarde756          6.28           
Vardas757         Pavarde757          7.24           
Vardas760         Pavarde760          6.88           
Vardas762         Pavarde762          6.00           
Vardas763         Pavarde763          6.56           
Vardas765         Pavarde765          5.24           
Vardas766         Pavarde766          5.36           
Vardas769         Pavarde769          7.64           
Vardas776         Pavarde776          6.52           
Vardas780         Pavarde780          7.84           
Vardas782         Pavarde782          6.56           
Vardas783         Pavarde783          5.44           
Vardas784         Pavarde784          5.92           
Vardas785         Pavarde785          5.56           
Vardas787         Pavarde787          6.40           
Vardas788         Pavarde788          5.12           
Vardas789         Pavarde789          6.20           
Vardas792         Pavarde792          5.40           
Vardas796         Pavarde796          5.68           
Vardas797         Pavarde797          6.08           
Vardas804         Pavarde804          7.24           
Vardas806         Pavarde806          8.00           
Vardas808         Pavarde808          6.48           
Vardas810         Pavarde810          7.80           
Vardas811         Pavarde811          8.72           
Vardas818         Pavarde818          6.48           
Vardas819         Pavarde819          7.60           
Vardas822         Pavarde822          7.20           
Vardas827         Pavarde827          8.32           
Vardas829         Pavarde829          8.24           
Vardas831         Pavarde831          7.60           
Vardas832         Pavarde832          5.88           
Vardas833         Pavarde833          5.24           
Vardas834         Pavarde834          8.72           
Vardas835         Pavarde835          7.24           
Vardas836         Pavarde836          8.56           
Vardas837         Pavarde837          5.44           
Vardas839         Pavarde839          9.20           
Vardas843         Pavarde843          5.08           
Vardas844         Pavarde844          7.84           
Vardas845         Pavarde845          7.40           
Vardas847         Pavarde847          7.44           
Vardas848         Pavarde848          6.68           
Vardas849         Pavarde849          5.24           
Vardas852         Pavarde852          5.44           
Vardas853         Pavarde853          5.08           
Vardas855         Pavarde855          7.20           
Vardas856         Pavarde856          8.40           
Vardas857         Pavarde857          6.84           
Vardas858         Pavarde858          5.80           
Vardas859         Pavarde859          5.48           
Vardas860         Pavarde860          6.80           
Vardas861         Pavarde861          6.64           
Vardas862         Pavarde862          5.76           
Vardas863         Pavarde863          7.24           
Vardas864         Pavarde864          6.32           
Vardas865         Pavarde865          5.96           
Vardas867         Pavarde867          6.12           
Vardas868         Pavarde868          5.48           
Vardas871         Pavarde871          6.96           
Vardas872         Pavarde872          7.28           
Vardas873         Pavarde873          6.44           
Vardas874         Pavarde874          6.44           
Vardas878         Pavarde878          5.72           
Vardas879         Pavarde879          7.60           
Vardas880         Pavarde880          8.24           
Vardas883         Pavarde883          7.80           
Vardas884         Pavarde884          7.20           
Vardas885         Pavarde885          7.28           
Vardas887         Pavarde887          6.24           
Vardas889         Pavarde889          5.68           
Vardas890         Pavarde890          8.16           
Vardas891         Pavarde891          6.08           
Vardas892         Pavarde892          6.76           
Vardas893         Pavarde893          7.16           
Vardas894         Pavarde894          7.48           
Vardas896         Pavarde896          6.24           
Vardas900         Pavarde900          6.12           
Vardas902         Pavarde902          6.84           
Vardas903         Pavarde903          6.88           
Vardas904         Pavarde904          6.28           
Vardas907         Pavarde907          8.40           
Vardas908         Pavarde908          8.52           
Vardas909         Pavarde909          6.84           
Vardas913         Pavarde913          7.24           
Vardas916         Pavarde916          6.80           
Vardas921         Pavarde921          5.04           
Vardas925         Pavarde925          5.56           
Vardas932         Pavarde932          7.88           
Vardas935         Pavarde935          5.64           
Vardas941         Pavarde941          7.28           
Vardas942         Pavarde942          5.04           
Vardas944         Pavarde944          5.80           
Vardas945         Pavarde945          5.76           
Vardas946         Pavarde946          7.32           
Vardas949         Pavarde949          6.96           
Vardas952         Pavarde952          6.68           
Vardas953         Pavarde953          7.28           
Vardas955         Pavarde955          8.32           
Vardas957         Pavarde957          5.12           
Vardas959         Pavarde959          5.00           
Vardas960         Pavarde960          5.20           
Vardas961         Pavarde961          5.72           
Vardas962         Pavarde962          6.04           
Vardas964         Pavarde964          7.72           
Vardas966         Pavarde966          6.52           
Vardas968         Pavarde968          5.12           
Vardas969         Pavarde969          6.52           
Vardas971         Pavarde971          5.76           
Vardas973         Pavarde973          5.08           
Vardas975         Pavarde975          6.68           
Vardas976         Pavarde976          7.60           
Vardas977         Pavarde977          5.40           
Vardas981         Pavarde981          7.08           
Vardas982         Pavarde982          6.88           
Vardas984         Pavarde984          6.00           
Vardas987         Pavarde987          6.76           
Vardas993         Pavarde993          5.48           
Vardas994         Pavarde994          6.04           
Vardas996         Pavarde996          6.48           
Vardas997         Pavarde997          5.04           
Vardas999         Pavarde999          5.40           
Vardas1000        Pavarde1000         6.52           
