-------------------------------------------------
Vardas           Pavarde        Galutinis (Vid.)
Vardas525        Pavarde525          2.28           
Vardas719        Pavarde719          2.28           
Vardas569        Pavarde569          2.32           
Vardas389        Pavarde389          2.32           
Vardas807        Pavarde807          2.32           
Vardas737        Pavarde737          2.32           
Vardas739        Pavarde739          2.36           
Vardas547        Pavarde547          2.36           
Vardas900        Pavarde900          2.36           
Vardas74         Pavarde74           2.36           
Vardas483        Pavarde483          2.36           
Vardas989        Pavarde989          2.36           
Vardas126        Pavarde126          2.40           
Vardas818        Pavarde818          2.40           
Vardas563        Pavarde563          2.40           
Vardas148        Pavarde148          2.40           
Vardas597        Pavarde597          2.40           
Vardas88         Pavarde88           2.40           
Vardas84         Pavarde84           2.40           
Vardas220        Pavarde220          2.40           
Vardas501        Pavarde501          2.40           
Vardas561        Pavarde561          2.44           
Vardas16         Pavarde16           2.44           
Vardas404        Pavarde404          2.44           
Vardas806        Pavarde806          2.44           
Vardas444        Pavarde444          2.44           
Vardas660        Pavarde660          2.44           
Vardas142        Pavarde142          2.44           
Vardas655        Pavarde655          2.44           
Vardas35         Pavarde35           2.44           
Vardas419        Pavarde419          2.48           
Vardas930        Pavarde930          2.48           
Vardas200        Pavarde200          2.48           
Vardas828        Pavarde828          2.48           
Vardas31         Pavarde31           2.48           
Vardas872        Pavarde872          2.48           
Vardas485        Pavarde485          2.48           
Vardas212        Pavarde212          2.48           
Vardas240        Pavarde240          2.48           
Vardas311        Pavarde311          2.52           
Vardas309        Pavarde309          2.52           
Vardas579        Pavarde579          2.52           
Vardas155        Pavarde155          2.52           
Vardas92         Pavarde92           2.52           
Vardas524        Pavarde524          2.52           
Vardas867        Pavarde867          2.56           
Vardas934        Pavarde934          2.56           
Vardas172        Pavarde172          2.56           
Vardas22         Pavarde22           2.56           
Vardas246        Pavarde246          2.60           
Vardas910        Pavarde910          2.60           
Vardas477        Pavarde477          2.60           
Vardas663        Pavarde663          2.60           
Vardas282        Pavarde282          2.60           
Vardas810        Pavarde810          2.60           
Vardas27         Pavarde27           2.64           
Vardas338        Pavarde338          2.64           
Vardas316        Pavarde316          2.64           
Vardas516        Pavarde516          2.64           
Vardas7          Pavarde7            2.64           
Vardas683        Pavarde683          2.64           
Vardas278        Pavarde278          2.68           
Vardas674        Pavarde674          2.68           
Vardas959        Pavarde959          2.68           
Vardas486        Pavarde486          2.68           
Vardas17         Pavarde17           2.68           
Vardas286        Pavarde286          2.72           
Vardas577        Pavarde577          2.72           
Vardas656        Pavarde656          2.72           
Vardas691        Pavarde691          2.72           
Vardas631        Pavarde631          2.72           
Vardas210        Pavarde210          2.72           
Vardas595        Pavarde595          2.72           
Vardas410        Pavarde410          2.72           
Vardas203        Pavarde203          2.76           
Vardas511        Pavarde511          2.76           
Vardas199        Pavarde199          2.76           
Vardas331        Pavarde331          2.76           
Vardas879        Pavarde879          2.76           
Vardas453        Pavarde453          2.80           
Vardas855        Pavarde855          2.80           
Vardas468        Pavarde468          2.80           
Vardas715        Pavarde715          2.80           
Vardas874        Pavarde874          2.80           
Vardas284        Pavarde284          2.80           
Vardas811        Pavarde811          2.80           
Vardas242        Pavarde242          2.80           
Vardas173        Pavarde173          2.80           
Vardas738        Pavarde738          2.80           
Vardas350        Pavarde350          2.84           
Vardas287        Pavarde287          2.84           
Vardas256        Pavarde256          2.84           
Vardas43         Pavarde43           2.88           
Vardas196        Pavarde196          2.88           
Vardas380        Pavarde380          2.88           
Vardas769        Pavarde769          2.88           
Vardas580        Pavarde580          2.88           
Vardas915        Pavarde915          2.92           
Vardas957        Pavarde957          2.92           
Vardas489        Pavarde489          2.92           
Vardas34         Pavarde34           2.92           
Vardas274        Pavarde274          2.92           
Vardas812        Pavarde812          2.96           
Vardas490        Pavarde490          2.96           
Vardas891        Pavarde891          2.96           
Vardas898        Pavarde898          2.96           
Vardas322        Pavarde322          2.96           
Vardas652        Pavarde652          2.96           
Vardas914        Pavarde914          2.96           
Vardas372        Pavarde372          2.96           
Vardas143        Pavarde143          2.96           
Vardas41         Pavarde41           2.96           
Vardas292        Pavarde292          2.96           
Vardas254        Pavarde254          3.00           
Vardas820        Pavarde820          3.00           
Vardas941        Pavarde941          3.00           
Vardas987        Pavarde987          3.00           
Vardas207        Pavarde207          3.04           
Vardas197        Pavarde197          3.04           
Vardas211        Pavarde211          3.04           
Vardas193        Pavarde193          3.04           
Vardas736        Pavarde736          3.08           
Vardas366        Pavarde366          3.08           
Vardas945        Pavarde945          3.08           
Vardas692        Pavarde692          3.08           
Vardas960        Pavarde960          3.08           
Vardas473        Pavarde473          3.08           
Vardas920        Pavarde920          3.12           
Vardas491        Pavarde491          3.12           
Vardas424        Pavarde424          3.12           
Vardas787        Pavarde787          3.12           
Vardas400        Pavarde400          3.12           
Vardas682        Pavarde682          3.16           
Vardas635        Pavarde635          3.16           
Vardas146        Pavarde146          3.16           
Vardas548        Pavarde548          3.16           
Vardas636        Pavarde636          3.20           
Vardas241        Pavarde241          3.20           
Vardas273        Pavarde273          3.20           
Vardas752        Pavarde752          3.20           
Vardas873        Pavarde873          3.20           
Vardas325        Pavarde325          3.20           
Vardas233        Pavarde233          3.24           
Vardas218        Pavarde218          3.24           
Vardas222        Pavarde222          3.24           
Vardas858        Pavarde858          3.24           
Vardas724        Pavarde724          3.24           
Vardas259        Pavarde259          3.24           
Vardas803        Pavarde803          3.24           
Vardas343        Pavarde343          3.28           
Vardas159        Pavarde159          3.28           
Vardas18         Pavarde18           3.28           
Vardas194        Pavarde194          3.32           
Vardas107        Pavarde107          3.32           
Vardas686        Pavarde686          3.32           
Vardas642        Pavarde642          3.32           
Vardas10         Pavarde10           3.32           
Vardas707        Pavarde707          3.32           
Vardas329        Pavarde329          3.36           
Vardas175        Pavarde175          3.36           
Vardas119        Pavarde119          3.36           
Vardas355        Pavarde355          3.36           
Vardas938        Pavarde938          3.36           
Vardas320        Pavarde320          3.36           
Vardas446        Pavarde446          3.36           
Vardas685        Pavarde685          3.40           
Vardas995        Pavarde995          3.40           
Vardas575        Pavarde575          3.40           
Vardas978        Pavarde978          3.40           
Vardas367        Pavarde367          3.40           
Vardas596        Pavarde596          3.40           
Vardas494        Pavarde494          3.40           
Vardas361        Pavarde361          3.40           
Vardas495        Pavarde495          3.40           
Vardas619        Pavarde619          3.40           
Vardas913        Pavarde913          3.40           
Vardas693        Pavarde693          3.44           
Vardas351        Pavarde351          3.44           
Vardas243        Pavarde243          3.44           
Vardas614        Pavarde614          3.44           
Vardas648        Pavarde648          3.44           
Vardas418        Pavarde418          3.48           
Vardas815        Pavarde815          3.48           
Vardas217        Pavarde217          3.48           
Vardas514        Pavarde514          3.52           
Vardas830        Pavarde830          3.52           
Vardas667        Pavarde667          3.52           
Vardas670        Pavarde670          3.56           
Vardas391        Pavarde391          3.56           
Vardas744        Pavarde744          3.56           
Vardas134        Pavarde134          3.56           
Vardas886        Pavarde886          3.56           
Vardas536        Pavarde536          3.56           
Vardas924        Pavarde924          3.56           
Vardas96         Pavarde96           3.60           
Vardas991        Pavarde991          3.60           
Vardas230        Pavarde230          3.60           
Vardas687        Pavarde687          3.60           
Vardas312        Pavarde312          3.60           
Vardas438        Pavarde438          3.60           
Vardas33         Pavarde33           3.60           
Vardas620        Pavarde620          3.60           
Vardas846        Pavarde846          3.60           
Vardas658        Pavarde658          3.64           
Vardas314        Pavarde314          3.64           
Vardas531        Pavarde531          3.64           
Vardas264        Pavarde264          3.64           
Vardas183        Pavarde183          3.64           
Vardas487        Pavarde487          3.64           
Vardas664        Pavarde664          3.64           
Vardas234        Pavarde234          3.68           
Vardas90         Pavarde90           3.68           
Vardas332        Pavarde332          3.68           
Vardas177        Pavarde177          3.68           
Vardas665        Pavarde665          3.68           
Vardas75         Pavarde75           3.72           
Vardas985        Pavarde985          3.72           
Vardas385        Pavarde385          3.72           
Vardas556        Pavarde556          3.72           
Vardas9          Pavarde9            3.72           
Vardas227        Pavarde227          3.76           
Vardas356        Pavarde356          3.76           
Vardas929        Pavarde929          3.76           
Vardas319        Pavarde319          3.76           
Vardas141        Pavarde141          3.76           
Vardas755        Pavarde755          3.80           
Vardas337        Pavarde337          3.80           
Vardas315        Pavarde315          3.80           
Vardas481        Pavarde481          3.80           
Vardas436        Pavarde436          3.80           
Vardas23         Pavarde23           3.80           
Vardas590        Pavarde590          3.80           
Vardas679        Pavarde679          3.84           
Vardas826        Pavarde826          3.84           
Vardas845        Pavarde845          3.84           
Vardas165        Pavarde165          3.84           
Vardas761        Pavarde761          3.84           
Vardas868        Pavarde868          3.84           
Vardas916        Pavarde916          3.88           
Vardas783        Pavarde783          3.88           
Vardas773        Pavarde773          3.88           
Vardas188        Pavarde188          3.88           
Vardas813        Pavarde813          3.88           
Vardas14         Pavarde14           3.88           
Vardas534        Pavarde534          3.92           
Vardas766        Pavarde766          3.92           
Vardas902        Pavarde902          3.92           
Vardas394        Pavarde394          3.92           
Vardas51         Pavarde51           3.92           
Vardas470        Pavarde470          3.92           
Vardas749        Pavarde749          3.96           
Vardas835        Pavarde835          3.96           
Vardas804        Pavarde804          3.96           
Vardas999        Pavarde999          3.96           
Vardas887        Pavarde887          3.96           
Vardas50         Pavarde50           3.96           
Vardas710        Pavarde710          3.96           
Vardas57         Pavarde57           3.96           
Vardas181        Pavarde181          3.96           
Vardas518        Pavarde518          3.96           
Vardas533        Pavarde533          3.96           
Vardas471        Pavarde471          3.96           
Vardas581        Pavarde581          3.96           
Vardas586        Pavarde586          3.96           
Vardas232        Pavarde232          4.00           
Vardas171        Pavarde171          4.00           
Vardas690        Pavarde690          4.00           
Vardas628        Pavarde628          4.00           
Vardas324        Pavarde324          4.00           
Vardas62         Pavarde62           4.00           
Vardas576        Pavarde576          4.00           
Vardas794        Pavarde794          4.00           
Vardas432        Pavarde432          4.04           
Vardas164        Pavarde164          4.04           
Vardas756        Pavarde756          4.04           
Vardas36         Pavarde36           4.04           
Vardas979        Pavarde979          4.04           
Vardas689        Pavarde689          4.04           
Vardas681        Pavarde681          4.04           
Vardas44         Pavarde44           4.08           
Vardas455        Pavarde455          4.08           
Vardas127        Pavarde127          4.08           
Vardas104        Pavarde104          4.08           
Vardas863        Pavarde863          4.08           
Vardas378        Pavarde378          4.08           
Vardas996        Pavarde996          4.12           
Vardas306        Pavarde306          4.12           
Vardas558        Pavarde558          4.12           
Vardas640        Pavarde640          4.12           
Vardas363        Pavarde363          4.12           
Vardas768        Pavarde768          4.12           
Vardas283        Pavarde283          4.12           
Vardas740        Pavarde740          4.16           
Vardas799        Pavarde799          4.16           
Vardas54         Pavarde54           4.16           
Vardas130        Pavarde130          4.20           
Vardas376        Pavarde376          4.20           
Vardas785        Pavarde785          4.20           
Vardas434        Pavarde434          4.20           
Vardas352        Pavarde352          4.20           
Vardas160        Pavarde160          4.20           
Vardas398        Pavarde398          4.24           
Vardas213        Pavarde213          4.24           
Vardas178        Pavarde178          4.24           
Vardas447        Pavarde447          4.24           
Vardas562        Pavarde562          4.24           
Vardas651        Pavarde651          4.24           
Vardas328        Pavarde328          4.24           
Vardas992        Pavarde992          4.24           
Vardas463        Pavarde463          4.28           
Vardas963        Pavarde963          4.28           
Vardas82         Pavarde82           4.28           
Vardas627        Pavarde627          4.28           
Vardas770        Pavarde770          4.28           
Vardas869        Pavarde869          4.28           
Vardas983        Pavarde983          4.28           
Vardas310        Pavarde310          4.28           
Vardas265        Pavarde265          4.28           
Vardas358        Pavarde358          4.32           
Vardas401        Pavarde401          4.32           
Vardas653        Pavarde653          4.32           
Vardas262        Pavarde262          4.32           
Vardas87         Pavarde87           4.32           
Vardas140        Pavarde140          4.36           
Vardas192        Pavarde192          4.36           
Vardas422        Pavarde422          4.36           
Vardas293        Pavarde293          4.36           
Vardas950        Pavarde950          4.36           
Vardas822        Pavarde822          4.36           
Vardas969        Pavarde969          4.40           
Vardas517        Pavarde517          4.40           
Vardas583        Pavarde583          4.40           
Vardas611        Pavarde611          4.40           
Vardas947        Pavarde947          4.40           
Vardas870        Pavarde870          4.40           
Vardas981        Pavarde981          4.40           
Vardas412        Pavarde412          4.44           
Vardas497        Pavarde497          4.44           
Vardas336        Pavarde336          4.44           
Vardas782        Pavarde782          4.44           
Vardas748        Pavarde748          4.44           
Vardas375        Pavarde375          4.44           
Vardas894        Pavarde894          4.48           
Vardas12         Pavarde12           4.48           
Vardas397        Pavarde397          4.48           
Vardas393        Pavarde393          4.48           
Vardas865        Pavarde865          4.48           
Vardas267        Pavarde267          4.48           
Vardas137        Pavarde137          4.48           
Vardas216        Pavarde216          4.48           
Vardas572        Pavarde572          4.48           
Vardas695        Pavarde695          4.48           
Vardas111        Pavarde111          4.48           
Vardas676        Pavarde676          4.48           
Vardas170        Pavarde170          4.48           
Vardas964        Pavarde964          4.52           
Vardas138        Pavarde138          4.52           
Vardas326        Pavarde326          4.52           
Vardas589        Pavarde589          4.56           
Vardas195        Pavarde195          4.56           
Vardas221        Pavarde221          4.56           
Vardas523        Pavarde523          4.56           
Vardas305        Pavarde305          4.60           
Vardas156        Pavarde156          4.60           
Vardas927        Pavarde927          4.60           
Vardas63         Pavarde63           4.60           
Vardas480        Pavarde480          4.60           
Vardas382        Pavarde382          4.60           
Vardas654        Pavarde654          4.60           
Vardas861        Pavarde861          4.60           
Vardas809        Pavarde809          4.64           
Vardas780        Pavarde780          4.64           
Vardas716        Pavarde716          4.64           
Vardas764        Pavarde764          4.64           
Vardas903        Pavarde903          4.64           
Vardas503        Pavarde503          4.64           
Vardas313        Pavarde313          4.64           
Vardas661        Pavarde661          4.64           
Vardas416        Pavarde416          4.68           
Vardas407        Pavarde407          4.68           
Vardas279        Pavarde279          4.68           
Vardas121        Pavarde121          4.68           
Vardas977        Pavarde977          4.68           
Vardas157        Pavarde157          4.72           
Vardas601        Pavarde601          4.72           
Vardas671        Pavarde671          4.72           
Vardas349        Pavarde349          4.72           
Vardas417        Pavarde417          4.72           
Vardas116        Pavarde116          4.76           
Vardas714        Pavarde714          4.76           
Vardas91         Pavarde91           4.76           
Vardas677        Pavarde677          4.76           
Vardas182        Pavarde182          4.80           
Vardas866        Pavarde866          4.80           
Vardas373        Pavarde373          4.80           
Vardas467        Pavarde467          4.80           
Vardas793        Pavarde793          4.80           
Vardas940        Pavarde940          4.80           
Vardas258        Pavarde258          4.80           
Vardas951        Pavarde951          4.80           
Vardas622        Pavarde622          4.80           
Vardas89         Pavarde89           4.84           
Vardas974        Pavarde974          4.84           
Vardas594        Pavarde594          4.84           
Vardas944        Pavarde944          4.88           
Vardas935        Pavarde935          4.88           
Vardas784        Pavarde784          4.88           
Vardas85         Pavarde85           4.92           
Vardas167        Pavarde167          4.92           
Vardas387        Pavarde387          4.92           
Vardas853        Pavarde853          4.92           
Vardas443        Pavarde443          4.92           
Vardas174        Pavarde174          4.92           
Vardas409        Pavarde409          4.96           
Vardas629        Pavarde629          4.96           
Vardas519        Pavarde519          4.96           
Vardas106        Pavarde106          4.96           
